7,9,14,15,16,20,22,24,25,27,buffer,sensor,geometry,X,Y,Long_name
0,0,0,0,0,2,6,0,0,0,10,201,"POLYGON ((2585024.11086987 1219998.17016653, 2585024.062717137 1219997.1899951266, 2585023.9187226743 1219996.2192633098, 2585023.6802732274 1219995.2673197575, 2585023.349665195 1219994.3433322064, 2585022.9300825135 1219993.4561991617, 2585022.425565993 1219992.6144641996, 2585021.8409744035 1219991.8262336883, 2585021.181937682 1219991.099098718, 2585020.4548027115 1219990.4400619962, 2585019.6665722 1219989.8554704068, 2585018.8248372385 1219989.3509538865, 2585017.937704194 1219988.9313712048, 2585017.0137166427 1219988.6007631726, 2585016.06177309 1219988.362313726, 2585015.0910412734 1219988.2183192633, 2585014.11086987 1219988.17016653, 2585013.1306984667 1219988.2183192633, 2585012.15996665 1219988.362313726, 2585011.2080230974 1219988.6007631726, 2585010.2840355462 1219988.9313712048, 2585009.3969025016 1219989.3509538865, 2585008.55516754 1219989.8554704068, 2585007.7669370286 1219990.4400619962, 2585007.039802058 1219991.099098718, 2585006.3807653366 1219991.8262336883, 2585005.796173747 1219992.6144641996, 2585005.2916572266 1219993.4561991617, 2585004.872074545 1219994.3433322064, 2585004.5414665127 1219995.2673197575, 2585004.303017066 1219996.2192633098, 2585004.159022603 1219997.1899951266, 2585004.11086987 1219998.17016653, 2585004.159022603 1219999.1503379333, 2585004.303017066 1220000.12106975, 2585004.5414665127 1220001.0730133024, 2585004.872074545 1220001.9970008535, 2585005.2916572266 1220002.8841338982, 2585005.796173747 1220003.7258688603, 2585006.3807653366 1220004.5140993716, 2585007.039802058 1220005.2412343419, 2585007.7669370286 1220005.9002710637, 2585008.55516754 1220006.484862653, 2585009.3969025016 1220006.9893791734, 2585010.2840355462 1220007.408961855, 2585011.2080230974 1220007.7395698873, 2585012.15996665 1220007.978019334, 2585013.1306984667 1220008.1220137966, 2585014.11086987 1220008.17016653, 2585015.0910412734 1220008.1220137966, 2585016.06177309 1220007.978019334, 2585017.0137166427 1220007.7395698873, 2585017.937704194 1220007.408961855, 2585018.8248372385 1220006.9893791734, 2585019.6665722 1220006.484862653, 2585020.4548027115 1220005.9002710637, 2585021.181937682 1220005.2412343419, 2585021.8409744035 1220004.5140993716, 2585022.425565993 1220003.7258688603, 2585022.9300825135 1220002.8841338982, 2585023.349665195 1220001.9970008535, 2585023.6802732274 1220001.0730133024, 2585023.9187226743 1220000.12106975, 2585024.062717137 1219999.1503379333, 2585024.11086987 1219998.17016653))",2585014.11086987,1219998.17016653,Robert-Walser-Platz
0,0,0,0,0,0,8,0,0,0,10,202,"POLYGON ((2584657.01086331 1219988.27016833, 2584656.962710577 1219987.2899969267, 2584656.8187161144 1219986.31926511, 2584656.5802666675 1219985.3673215576, 2584656.2496586354 1219984.4433340065, 2584655.8300759536 1219983.5562009618, 2584655.325559433 1219982.7144659997, 2584654.7409678437 1219981.9262354884, 2584654.081931122 1219981.1991005181, 2584653.3547961516 1219980.5400637963, 2584652.5665656403 1219979.955472207, 2584651.7248306787 1219979.4509556866, 2584650.837697634 1219979.031373005, 2584649.913710083 1219978.7007649727, 2584648.9617665303 1219978.462315526, 2584647.9910347136 1219978.3183210634, 2584647.01086331 1219978.27016833, 2584646.030691907 1219978.3183210634, 2584645.05996009 1219978.462315526, 2584644.1080165375 1219978.7007649727, 2584643.1840289864 1219979.031373005, 2584642.2968959417 1219979.4509556866, 2584641.45516098 1219979.955472207, 2584640.6669304688 1219980.5400637963, 2584639.9397954983 1219981.1991005181, 2584639.2807587767 1219981.9262354884, 2584638.6961671873 1219982.7144659997, 2584638.1916506668 1219983.5562009618, 2584637.772067985 1219984.4433340065, 2584637.441459953 1219985.3673215576, 2584637.203010506 1219986.31926511, 2584637.0590160433 1219987.2899969267, 2584637.01086331 1219988.27016833, 2584637.0590160433 1219989.2503397334, 2584637.203010506 1219990.2210715502, 2584637.441459953 1219991.1730151025, 2584637.772067985 1219992.0970026536, 2584638.1916506668 1219992.9841356983, 2584638.6961671873 1219993.8258706604, 2584639.2807587767 1219994.6141011717, 2584639.9397954983 1219995.341236142, 2584640.6669304688 1219996.0002728638, 2584641.45516098 1219996.5848644532, 2584642.2968959417 1219997.0893809735, 2584643.1840289864 1219997.5089636552, 2584644.1080165375 1219997.8395716874, 2584645.05996009 1219998.078021134, 2584646.030691907 1219998.2220155967, 2584647.01086331 1219998.27016833, 2584647.9910347136 1219998.2220155967, 2584648.9617665303 1219998.078021134, 2584649.913710083 1219997.8395716874, 2584650.837697634 1219997.5089636552, 2584651.7248306787 1219997.0893809735, 2584652.5665656403 1219996.5848644532, 2584653.3547961516 1219996.0002728638, 2584654.081931122 1219995.341236142, 2584654.7409678437 1219994.6141011717, 2584655.325559433 1219993.8258706604, 2584655.8300759536 1219992.9841356983, 2584656.2496586354 1219992.0970026536, 2584656.5802666675 1219991.1730151025, 2584656.8187161144 1219990.2210715502, 2584656.962710577 1219989.2503397334, 2584657.01086331 1219988.27016833))",2584647.01086331,1219988.27016833,Hafen
0,0,0,0,0,1,6,0,0,0,10,203,"POLYGON ((2585469.51087453 1220646.07017044, 2585469.4627217967 1220645.0899990366, 2585469.318727334 1220644.11926722, 2585469.080277887 1220643.1673236676, 2585468.749669855 1220642.2433361164, 2585468.3300871733 1220641.3562030718, 2585467.8255706527 1220640.5144681097, 2585467.2409790633 1220639.7262375983, 2585466.5819423418 1220638.999102628, 2585465.8548073713 1220638.3400659063, 2585465.06657686 1220637.755474317, 2585464.2248418983 1220637.2509577966, 2585463.3377088537 1220636.8313751149, 2585462.4137213025 1220636.5007670827, 2585461.46177775 1220636.262317636, 2585460.491045933 1220636.1183231734, 2585459.51087453 1220636.07017044, 2585458.5307031265 1220636.1183231734, 2585457.5599713097 1220636.262317636, 2585456.608027757 1220636.5007670827, 2585455.684040206 1220636.8313751149, 2585454.7969071614 1220637.2509577966, 2585453.9551721998 1220637.755474317, 2585453.1669416884 1220638.3400659063, 2585452.439806718 1220638.999102628, 2585451.7807699963 1220639.7262375983, 2585451.196178407 1220640.5144681097, 2585450.6916618864 1220641.3562030718, 2585450.2720792047 1220642.2433361164, 2585449.9414711725 1220643.1673236676, 2585449.7030217256 1220644.11926722, 2585449.559027263 1220645.0899990366, 2585449.51087453 1220646.07017044, 2585449.559027263 1220647.0503418434, 2585449.7030217256 1220648.02107366, 2585449.9414711725 1220648.9730172125, 2585450.2720792047 1220649.8970047636, 2585450.6916618864 1220650.7841378083, 2585451.196178407 1220651.6258727703, 2585451.7807699963 1220652.4141032817, 2585452.439806718 1220653.141238252, 2585453.1669416884 1220653.8002749737, 2585453.9551721998 1220654.3848665631, 2585454.7969071614 1220654.8893830834, 2585455.684040206 1220655.3089657652, 2585456.608027757 1220655.6395737974, 2585457.5599713097 1220655.878023244, 2585458.5307031265 1220656.0220177067, 2585459.51087453 1220656.07017044, 2585460.491045933 1220656.0220177067, 2585461.46177775 1220655.878023244, 2585462.4137213025 1220655.6395737974, 2585463.3377088537 1220655.3089657652, 2585464.2248418983 1220654.8893830834, 2585465.06657686 1220654.3848665631, 2585465.8548073713 1220653.8002749737, 2585466.5819423418 1220653.141238252, 2585467.2409790633 1220652.4141032817, 2585467.8255706527 1220651.6258727703, 2585468.3300871733 1220650.7841378083, 2585468.749669855 1220649.8970047636, 2585469.080277887 1220648.9730172125, 2585469.318727334 1220648.02107366, 2585469.4627217967 1220647.0503418434, 2585469.51087453 1220646.07017044))",2585459.51087453,1220646.07017044,Zentralplatz
0,5,0,0,0,0,1,0,2,0,10,204,"POLYGON ((2585956.81088076 1221134.77017259, 2585956.762728027 1221133.7900011865, 2585956.6187335644 1221132.8192693698, 2585956.3802841175 1221131.8673258175, 2585956.0496760854 1221130.9433382663, 2585955.6300934036 1221130.0562052217, 2585955.125576883 1221129.2144702596, 2585954.5409852937 1221128.4262397483, 2585953.881948572 1221127.699104778, 2585953.1548136016 1221127.0400680562, 2585952.3665830903 1221126.4554764668, 2585951.5248481287 1221125.9509599465, 2585950.637715084 1221125.5313772648, 2585949.713727533 1221125.2007692326, 2585948.7617839803 1221124.962319786, 2585947.7910521636 1221124.8183253233, 2585946.81088076 1221124.77017259, 2585945.830709357 1221124.8183253233, 2585944.85997754 1221124.962319786, 2585943.9080339875 1221125.2007692326, 2585942.9840464364 1221125.5313772648, 2585942.0969133917 1221125.9509599465, 2585941.25517843 1221126.4554764668, 2585940.4669479188 1221127.0400680562, 2585939.7398129483 1221127.699104778, 2585939.0807762267 1221128.4262397483, 2585938.4961846373 1221129.2144702596, 2585937.9916681168 1221130.0562052217, 2585937.572085435 1221130.9433382663, 2585937.241477403 1221131.8673258175, 2585937.003027956 1221132.8192693698, 2585936.8590334933 1221133.7900011865, 2585936.81088076 1221134.77017259, 2585936.8590334933 1221135.7503439933, 2585937.003027956 1221136.72107581, 2585937.241477403 1221137.6730193624, 2585937.572085435 1221138.5970069135, 2585937.9916681168 1221139.4841399582, 2585938.4961846373 1221140.3258749202, 2585939.0807762267 1221141.1141054316, 2585939.7398129483 1221141.8412404018, 2585940.4669479188 1221142.5002771236, 2585941.25517843 1221143.084868713, 2585942.0969133917 1221143.5893852334, 2585942.9840464364 1221144.008967915, 2585943.9080339875 1221144.3395759473, 2585944.85997754 1221144.578025394, 2585945.830709357 1221144.7220198566, 2585946.81088076 1221144.77017259, 2585947.7910521636 1221144.7220198566, 2585948.7617839803 1221144.578025394, 2585949.713727533 1221144.3395759473, 2585950.637715084 1221144.008967915, 2585951.5248481287 1221143.5893852334, 2585952.3665830903 1221143.084868713, 2585953.1548136016 1221142.5002771236, 2585953.881948572 1221141.8412404018, 2585954.5409852937 1221141.1141054316, 2585955.125576883 1221140.3258749202, 2585955.6300934036 1221139.4841399582, 2585956.0496760854 1221138.5970069135, 2585956.3802841175 1221137.6730193624, 2585956.6187335644 1221136.72107581, 2585956.762728027 1221135.7503439933, 2585956.81088076 1221134.77017259))",2585946.81088076,1221134.77017259,Stadtpark
0,5,0,0,0,0,2,0,1,0,10,205,"POLYGON ((2586851.31089471 1221544.27017185, 2586851.262741977 1221543.2900004466, 2586851.118747514 1221542.31926863, 2586850.8802980673 1221541.3673250775, 2586850.549690035 1221540.4433375264, 2586850.1301073534 1221539.5562044817, 2586849.625590833 1221538.7144695197, 2586849.0409992435 1221537.9262390083, 2586848.381962522 1221537.199104038, 2586847.6548275515 1221536.5400673163, 2586846.86659704 1221535.9554757269, 2586846.0248620785 1221535.4509592066, 2586845.137729034 1221535.0313765248, 2586844.2137414827 1221534.7007684927, 2586843.26179793 1221534.462319046, 2586842.2910661134 1221534.3183245833, 2586841.31089471 1221534.27017185, 2586840.3307233066 1221534.3183245833, 2586839.35999149 1221534.462319046, 2586838.4080479373 1221534.7007684927, 2586837.484060386 1221535.0313765248, 2586836.5969273415 1221535.4509592066, 2586835.75519238 1221535.9554757269, 2586834.9669618686 1221536.5400673163, 2586834.239826898 1221537.199104038, 2586833.5807901765 1221537.9262390083, 2586832.996198587 1221538.7144695197, 2586832.4916820666 1221539.5562044817, 2586832.072099385 1221540.4433375264, 2586831.7414913527 1221541.3673250775, 2586831.503041906 1221542.31926863, 2586831.359047443 1221543.2900004466, 2586831.31089471 1221544.27017185, 2586831.359047443 1221545.2503432534, 2586831.503041906 1221546.22107507, 2586831.7414913527 1221547.1730186224, 2586832.072099385 1221548.0970061736, 2586832.4916820666 1221548.9841392182, 2586832.996198587 1221549.8258741803, 2586833.5807901765 1221550.6141046917, 2586834.239826898 1221551.341239662, 2586834.9669618686 1221552.0002763837, 2586835.75519238 1221552.584867973, 2586836.5969273415 1221553.0893844934, 2586837.484060386 1221553.5089671751, 2586838.4080479373 1221553.8395752073, 2586839.35999149 1221554.078024654, 2586840.3307233066 1221554.2220191166, 2586841.31089471 1221554.27017185, 2586842.2910661134 1221554.2220191166, 2586843.26179793 1221554.078024654, 2586844.2137414827 1221553.8395752073, 2586845.137729034 1221553.5089671751, 2586846.0248620785 1221553.0893844934, 2586846.86659704 1221552.584867973, 2586847.6548275515 1221552.0002763837, 2586848.381962522 1221551.341239662, 2586849.0409992435 1221550.6141046917, 2586849.625590833 1221549.8258741803, 2586850.1301073534 1221548.9841392182, 2586850.549690035 1221548.0970061736, 2586850.8802980673 1221547.1730186224, 2586851.118747514 1221546.22107507, 2586851.262741977 1221545.2503432534, 2586851.31089471 1221544.27017185))",2586841.31089471,1221544.27017185,Ile de la Suze
0,8,0,0,0,0,0,0,0,0,10,206,"POLYGON ((2589126.21093916 1220851.17015334, 2589126.162786427 1220850.1899819367, 2589126.0187919643 1220849.21925012, 2589125.7803425174 1220848.2673065676, 2589125.4497344852 1220847.3433190165, 2589125.0301518035 1220846.4561859719, 2589124.525635283 1220845.6144510098, 2589123.9410436936 1220844.8262204984, 2589123.282006972 1220844.0990855282, 2589122.5548720015 1220843.4400488064, 2589121.76664149 1220842.855457217, 2589120.9249065286 1220842.3509406967, 2589120.037773484 1220841.931358015, 2589119.113785933 1220841.6007499828, 2589118.16184238 1220841.3623005361, 2589117.1911105635 1220841.2183060735, 2589116.21093916 1220841.17015334, 2589115.2307677567 1220841.2183060735, 2589114.26003594 1220841.3623005361, 2589113.3080923874 1220841.6007499828, 2589112.3841048363 1220841.931358015, 2589111.4969717916 1220842.3509406967, 2589110.65523683 1220842.855457217, 2589109.8670063186 1220843.4400488064, 2589109.139871348 1220844.0990855282, 2589108.4808346266 1220844.8262204984, 2589107.896243037 1220845.6144510098, 2589107.3917265167 1220846.4561859719, 2589106.972143835 1220847.3433190165, 2589106.6415358027 1220848.2673065676, 2589106.403086356 1220849.21925012, 2589106.259091893 1220850.1899819367, 2589106.21093916 1220851.17015334, 2589106.259091893 1220852.1503247435, 2589106.403086356 1220853.1210565602, 2589106.6415358027 1220854.0730001125, 2589106.972143835 1220854.9969876637, 2589107.3917265167 1220855.8841207083, 2589107.896243037 1220856.7258556704, 2589108.4808346266 1220857.5140861818, 2589109.139871348 1220858.241221152, 2589109.8670063186 1220858.9002578738, 2589110.65523683 1220859.4848494632, 2589111.4969717916 1220859.9893659835, 2589112.3841048363 1220860.4089486653, 2589113.3080923874 1220860.7395566974, 2589114.26003594 1220860.978006144, 2589115.2307677567 1220861.1220006067, 2589116.21093916 1220861.17015334, 2589117.1911105635 1220861.1220006067, 2589118.16184238 1220860.978006144, 2589119.113785933 1220860.7395566974, 2589120.037773484 1220860.4089486653, 2589120.9249065286 1220859.9893659835, 2589121.76664149 1220859.4848494632, 2589122.5548720015 1220858.9002578738, 2589123.282006972 1220858.241221152, 2589123.9410436936 1220857.5140861818, 2589124.525635283 1220856.7258556704, 2589125.0301518035 1220855.8841207083, 2589125.4497344852 1220854.9969876637, 2589125.7803425174 1220854.0730001125, 2589126.0187919643 1220853.1210565602, 2589126.162786427 1220852.1503247435, 2589126.21093916 1220851.17015334))",2589116.21093916,1220851.17015334,rural reference
0,6,0,0,0,0,2,0,0,0,10,208,"POLYGON ((2586633.50163489 1219907.00302359, 2586633.453482157 1219906.0228521866, 2586633.3094876944 1219905.0521203699, 2586633.0710382476 1219904.1001768175, 2586632.7404302154 1219903.1761892664, 2586632.3208475336 1219902.2890562217, 2586631.816331013 1219901.4473212596, 2586631.2317394237 1219900.6590907483, 2586630.572702702 1219899.931955778, 2586629.8455677317 1219899.2729190562, 2586629.0573372203 1219898.6883274668, 2586628.2156022587 1219898.1838109465, 2586627.328469214 1219897.7642282648, 2586626.404481663 1219897.4336202326, 2586625.4525381103 1219897.195170786, 2586624.4818062936 1219897.0511763233, 2586623.50163489 1219897.00302359, 2586622.521463487 1219897.0511763233, 2586621.55073167 1219897.195170786, 2586620.5987881175 1219897.4336202326, 2586619.6748005664 1219897.7642282648, 2586618.7876675217 1219898.1838109465, 2586617.94593256 1219898.6883274668, 2586617.157702049 1219899.2729190562, 2586616.4305670783 1219899.931955778, 2586615.7715303567 1219900.6590907483, 2586615.1869387673 1219901.4473212596, 2586614.682422247 1219902.2890562217, 2586614.262839565 1219903.1761892664, 2586613.932231533 1219904.1001768175, 2586613.693782086 1219905.0521203699, 2586613.5497876233 1219906.0228521866, 2586613.50163489 1219907.00302359, 2586613.5497876233 1219907.9831949933, 2586613.693782086 1219908.95392681, 2586613.932231533 1219909.9058703624, 2586614.262839565 1219910.8298579135, 2586614.682422247 1219911.7169909582, 2586615.1869387673 1219912.5587259203, 2586615.7715303567 1219913.3469564316, 2586616.4305670783 1219914.0740914019, 2586617.157702049 1219914.7331281237, 2586617.94593256 1219915.317719713, 2586618.7876675217 1219915.8222362334, 2586619.6748005664 1219916.2418189151, 2586620.5987881175 1219916.5724269473, 2586621.55073167 1219916.810876394, 2586622.521463487 1219916.9548708566, 2586623.50163489 1219917.00302359, 2586624.4818062936 1219916.9548708566, 2586625.4525381103 1219916.810876394, 2586626.404481663 1219916.5724269473, 2586627.328469214 1219916.2418189151, 2586628.2156022587 1219915.8222362334, 2586629.0573372203 1219915.317719713, 2586629.8455677317 1219914.7331281237, 2586630.572702702 1219914.0740914019, 2586631.2317394237 1219913.3469564316, 2586631.816331013 1219912.5587259203, 2586632.3208475336 1219911.7169909582, 2586632.7404302154 1219910.8298579135, 2586633.0710382476 1219909.9058703624, 2586633.3094876944 1219908.95392681, 2586633.453482157 1219907.9831949933, 2586633.50163489 1219907.00302359))",2586623.50163489,1219907.00302359,Möösli
0,1,0,0,0,3,3,0,1,0,10,209,"POLYGON ((2586137.00435491 1220505.75806624, 2586136.956202177 1220504.7778948366, 2586136.812207714 1220503.80716302, 2586136.5737582673 1220502.8552194675, 2586136.243150235 1220501.9312319164, 2586135.8235675534 1220501.0440988718, 2586135.319051033 1220500.2023639097, 2586134.7344594435 1220499.4141333983, 2586134.075422722 1220498.686998428, 2586133.3482877514 1220498.0279617063, 2586132.56005724 1220497.4433701169, 2586131.7183222785 1220496.9388535966, 2586130.831189234 1220496.5192709148, 2586129.9072016827 1220496.1886628827, 2586128.95525813 1220495.950213436, 2586127.9845263134 1220495.8062189734, 2586127.00435491 1220495.75806624, 2586126.0241835066 1220495.8062189734, 2586125.05345169 1220495.950213436, 2586124.1015081373 1220496.1886628827, 2586123.177520586 1220496.5192709148, 2586122.2903875415 1220496.9388535966, 2586121.44865258 1220497.4433701169, 2586120.6604220686 1220498.0279617063, 2586119.933287098 1220498.686998428, 2586119.2742503765 1220499.4141333983, 2586118.689658787 1220500.2023639097, 2586118.1851422666 1220501.0440988718, 2586117.765559585 1220501.9312319164, 2586117.4349515527 1220502.8552194675, 2586117.196502106 1220503.80716302, 2586117.052507643 1220504.7778948366, 2586117.00435491 1220505.75806624, 2586117.052507643 1220506.7382376434, 2586117.196502106 1220507.70896946, 2586117.4349515527 1220508.6609130125, 2586117.765559585 1220509.5849005636, 2586118.1851422666 1220510.4720336082, 2586118.689658787 1220511.3137685703, 2586119.2742503765 1220512.1019990817, 2586119.933287098 1220512.829134052, 2586120.6604220686 1220513.4881707737, 2586121.44865258 1220514.0727623631, 2586122.2903875415 1220514.5772788834, 2586123.177520586 1220514.9968615652, 2586124.1015081373 1220515.3274695973, 2586125.05345169 1220515.565919044, 2586126.0241835066 1220515.7099135066, 2586127.00435491 1220515.75806624, 2586127.9845263134 1220515.7099135066, 2586128.95525813 1220515.565919044, 2586129.9072016827 1220515.3274695973, 2586130.831189234 1220514.9968615652, 2586131.7183222785 1220514.5772788834, 2586132.56005724 1220514.0727623631, 2586133.3482877514 1220513.4881707737, 2586134.075422722 1220512.829134052, 2586134.7344594435 1220512.1019990817, 2586135.319051033 1220511.3137685703, 2586135.8235675534 1220510.4720336082, 2586136.243150235 1220509.5849005636, 2586136.5737582673 1220508.6609130125, 2586136.812207714 1220507.70896946, 2586136.956202177 1220506.7382376434, 2586137.00435491 1220505.75806624))",2586127.00435491,1220505.75806624,Madrestch-Piano
0,0,0,0,0,4,5,0,0,0,10,210,"POLYGON ((2585607.90543899 1220459.86008397, 2585607.8572862567 1220458.8799125666, 2585607.713291794 1220457.90918075, 2585607.474842347 1220456.9572371976, 2585607.144234315 1220456.0332496464, 2585606.7246516333 1220455.1461166018, 2585606.2201351128 1220454.3043816397, 2585605.6355435234 1220453.5161511283, 2585604.976506802 1220452.789016158, 2585604.2493718313 1220452.1299794363, 2585603.46114132 1220451.5453878469, 2585602.6194063583 1220451.0408713266, 2585601.7322733137 1220450.6212886448, 2585600.8082857626 1220450.2906806127, 2585599.85634221 1220450.052231166, 2585598.8856103932 1220449.9082367034, 2585597.90543899 1220449.86008397, 2585596.9252675865 1220449.9082367034, 2585595.9545357698 1220450.052231166, 2585595.002592217 1220450.2906806127, 2585594.078604666 1220450.6212886448, 2585593.1914716214 1220451.0408713266, 2585592.34973666 1220451.5453878469, 2585591.5615061484 1220452.1299794363, 2585590.834371178 1220452.789016158, 2585590.1753344564 1220453.5161511283, 2585589.590742867 1220454.3043816397, 2585589.0862263464 1220455.1461166018, 2585588.6666436647 1220456.0332496464, 2585588.3360356325 1220456.9572371976, 2585588.0975861857 1220457.90918075, 2585587.953591723 1220458.8799125666, 2585587.90543899 1220459.86008397, 2585587.953591723 1220460.8402553734, 2585588.0975861857 1220461.81098719, 2585588.3360356325 1220462.7629307425, 2585588.6666436647 1220463.6869182936, 2585589.0862263464 1220464.5740513382, 2585589.590742867 1220465.4157863003, 2585590.1753344564 1220466.2040168117, 2585590.834371178 1220466.931151782, 2585591.5615061484 1220467.5901885037, 2585592.34973666 1220468.1747800931, 2585593.1914716214 1220468.6792966134, 2585594.078604666 1220469.0988792952, 2585595.002592217 1220469.4294873273, 2585595.9545357698 1220469.667936774, 2585596.9252675865 1220469.8119312366, 2585597.90543899 1220469.86008397, 2585598.8856103932 1220469.8119312366, 2585599.85634221 1220469.667936774, 2585600.8082857626 1220469.4294873273, 2585601.7322733137 1220469.0988792952, 2585602.6194063583 1220468.6792966134, 2585603.46114132 1220468.1747800931, 2585604.2493718313 1220467.5901885037, 2585604.976506802 1220466.931151782, 2585605.6355435234 1220466.2040168117, 2585606.2201351128 1220465.4157863003, 2585606.7246516333 1220464.5740513382, 2585607.144234315 1220463.6869182936, 2585607.474842347 1220462.7629307425, 2585607.713291794 1220461.81098719, 2585607.8572862567 1220460.8402553734, 2585607.90543899 1220459.86008397))",2585597.90543899,1220459.86008397,Congresshaus
0,3,0,0,0,1,4,0,1,0,10,211,"POLYGON ((2585639.30380887 1219701.80705616, 2585639.2556561367 1219700.8268847566, 2585639.111661674 1219699.8561529398, 2585638.873212227 1219698.9042093875, 2585638.542604195 1219697.9802218364, 2585638.123021513 1219697.0930887917, 2585637.6185049927 1219696.2513538296, 2585637.0339134033 1219695.4631233183, 2585636.3748766817 1219694.735988348, 2585635.647741711 1219694.0769516262, 2585634.8595112 1219693.4923600368, 2585634.0177762383 1219692.9878435165, 2585633.1306431936 1219692.5682608348, 2585632.2066556425 1219692.2376528026, 2585631.25471209 1219691.999203356, 2585630.283980273 1219691.8552088933, 2585629.30380887 1219691.80705616, 2585628.3236374664 1219691.8552088933, 2585627.3529056497 1219691.999203356, 2585626.400962097 1219692.2376528026, 2585625.476974546 1219692.5682608348, 2585624.5898415013 1219692.9878435165, 2585623.7481065397 1219693.4923600368, 2585622.9598760284 1219694.0769516262, 2585622.232741058 1219694.735988348, 2585621.5737043363 1219695.4631233183, 2585620.989112747 1219696.2513538296, 2585620.4845962264 1219697.0930887917, 2585620.0650135446 1219697.9802218364, 2585619.7344055125 1219698.9042093875, 2585619.4959560656 1219699.8561529398, 2585619.351961603 1219700.8268847566, 2585619.30380887 1219701.80705616, 2585619.351961603 1219702.7872275633, 2585619.4959560656 1219703.75795938, 2585619.7344055125 1219704.7099029324, 2585620.0650135446 1219705.6338904835, 2585620.4845962264 1219706.5210235282, 2585620.989112747 1219707.3627584903, 2585621.5737043363 1219708.1509890016, 2585622.232741058 1219708.8781239719, 2585622.9598760284 1219709.5371606937, 2585623.7481065397 1219710.121752283, 2585624.5898415013 1219710.6262688034, 2585625.476974546 1219711.045851485, 2585626.400962097 1219711.3764595173, 2585627.3529056497 1219711.614908964, 2585628.3236374664 1219711.7589034266, 2585629.30380887 1219711.80705616, 2585630.283980273 1219711.7589034266, 2585631.25471209 1219711.614908964, 2585632.2066556425 1219711.3764595173, 2585633.1306431936 1219711.045851485, 2585634.0177762383 1219710.6262688034, 2585634.8595112 1219710.121752283, 2585635.647741711 1219709.5371606937, 2585636.3748766817 1219708.8781239719, 2585637.0339134033 1219708.1509890016, 2585637.6185049927 1219707.3627584903, 2585638.123021513 1219706.5210235282, 2585638.542604195 1219705.6338904835, 2585638.873212227 1219704.7099029324, 2585639.111661674 1219703.75795938, 2585639.2556561367 1219702.7872275633, 2585639.30380887 1219701.80705616))",2585629.30380887,1219701.80705616,Mühlefeld
